PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
231. Devan Dubnyk,MIN,33,"May 4, 1986",Canada,224 lbs - 102 kg,6' 6 - 198 cm,G,Left,14 - Round 1 - 2004 (EDM),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jun 27, 2015",29,,,M-NTC,6,UFA,UFA,2021,"$4,333,333",6.1%,"$4,333,333","$3,500,000","$3,500,000","$3,500,000",$0,$0
232. Dmitry Kulikov,WPG,28,"Oct 29, 1990",Russia,204 lbs - 93 kg,6' 1 - 185 cm,D,Left,14 - Round 1 - 2009 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2017",26,,,M-NTC,3,UFA,UFA,2020,"$4,333,333",5.8%,"$4,333,333","$4,333,333","$4,333,333","$4,333,333",$0,$0
233. Sean Couturier,PHI,26,"Dec 7, 1992",United States,211 lbs - 96 kg,6' 3 - 191 cm,C,Left,8 - Round 1 - 2011 (PHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 28, 2015",23,✔,,,6,RFA,UFA,2022,"$4,333,333",6.1%,"$4,333,333","$4,500,000","$4,500,000","$4,500,000",$0,$0
234. Michael Frolík,CGY,31,"Feb 17, 1988",Czech Republic,190 lbs - 86 kg,6' 1 - 185 cm,"LW, RW",Left,10 - Round 1 - 2006 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2015",27,,,M-NTC,5,UFA,UFA,2020,"$4,300,000",5.9%,"$4,300,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
235. Antti Raanta,ARI,30,"May 12, 1989",Finland,195 lbs - 88 kg,6' 0 - 183 cm,G,Left,-,,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Apr 6, 2018",29,,,,3,UFA,UFA,2021,"$4,250,000",5.7%,"$4,250,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
236. Viktor Arvidsson,NSH,26,"Apr 8, 1993",Sweden,180 lbs - 82 kg,5' 9 - 175 cm,"RW, LW",Right,112 - Round 4 - 2014 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 22, 2017",24,✔,✔,,7,RFA,UFA,2024,"$4,250,000",5.7%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
237. Craig Smith,NSH,29,"Sep 5, 1989",United States,208 lbs - 94 kg,6' 1 - 185 cm,"RW, C",Right,98 - Round 4 - 2009 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 20, 2015",25,✔,✔,,5,RFA,UFA,2020,"$4,250,000",6.0%,"$4,250,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
238. John Klingberg,DAL,26,"Aug 14, 1992",Sweden,180 lbs - 82 kg,6' 2 - 188 cm,D,Right,131 - Round 5 - 2010 (DAL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Apr 17, 2015",22,,,,7,RFA,UFA,2022,"$4,250,000",6.2%,"$4,250,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
239. David Savard,CBJ,28,"Oct 22, 1990",Canada,227 lbs - 103 kg,6' 2 - 188 cm,D,Right,94 - Round 4 - 2009 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 8, 2015",24,✔,,,5,RFA,UFA,2021,"$4,250,000",6.0%,"$4,250,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
240. Ian Cole,COL,30,"Feb 21, 1989",United States,219 lbs - 99 kg,6' 1 - 185 cm,D,Left,18 - Round 1 - 2007 (STL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",29,,,,3,UFA,UFA,2021,"$4,250,000",5.3%,"$4,250,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
241. Justin Abdelkader,DET,32,"Feb 25, 1987",United States,214 lbs - 97 kg,6' 2 - 188 cm,"LW, RW",Left,42 - Round 2 - 2005 (DET),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Nov 12, 2015",28,,,NTC,7,UFA,UFA,2023,"$4,250,000",5.8%,"$4,250,000","$4,750,000","$4,250,000","$4,750,000","$500,000",$0
242. Jonathan Ericsson,DET,35,"Mar 2, 1984",Sweden,220 lbs - 100 kg,6' 4 - 193 cm,D,Left,291 - Round 9 - 2002 (DET),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Nov 27, 2013",30,,,M-NTC,6,UFA,UFA,2020,"$4,250,000",6.6%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
243. Oscar Klefbom,EDM,25,"Jul 20, 1993",Sweden,216 lbs - 98 kg,6' 3 - 191 cm,D,Left,19 - Round 1 - 2011 (EDM),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 19, 2015",22,,,,7,RFA,UFA,2023,"$4,167,000",5.7%,"$4,167,000","$4,500,000","$4,500,000","$4,500,000",$0,$0
244. Jonas Brodin,MIN,25,"Jul 12, 1993",Sweden,198 lbs - 90 kg,6' 1 - 185 cm,D,Left,10 - Round 1 - 2011 (MIN),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 13, 2014",21,,,,6,RFA,UFA,2021,"$4,166,667",6.0%,"$4,166,667","$4,750,000","$4,750,000","$4,750,000",$0,$0
245. Damon Severson,NJD,24,"Aug 7, 1994",Canada,205 lbs - 93 kg,6' 2 - 188 cm,D,Right,60 - Round 2 - 2012 (NJD),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 11, 2017",22,,,,6,RFA,UFA,2023,"$4,166,666",5.6%,"$4,166,666","$4,675,000","$4,675,000","$4,675,000",$0,$0
246. Adam Larsson,EDM,26,"Nov 12, 1992",Sweden,208 lbs - 94 kg,6' 3 - 191 cm,D,Right,4 - Round 1 - 2011 (NJD),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 25, 2015",22,✔,✔,,6,RFA,UFA,2021,"$4,166,666",5.8%,"$4,166,666","$5,050,000","$5,050,000","$5,050,000",$0,$0
247. Mathieu Perreault,WPG,31,"Jan 5, 1988",Canada,188 lbs - 85 kg,5' 10 - 178 cm,"LW, C",Left,177 - Round 6 - 2006 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 7, 2016",28,,,M-NTC,4,UFA,UFA,2021,"$4,125,000",5.7%,"$4,125,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
248. Nick Bonino,NSH,31,"Apr 20, 1988",United States,196 lbs - 89 kg,6' 1 - 185 cm,C,Left,173 - Round 6 - 2007 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2017",29,,,,4,UFA,UFA,2021,"$4,100,000",5.5%,"$4,100,000","$4,100,000","$4,100,000","$4,100,000",$0,$0
249. Nick Bjugstad,PIT,26,"Jul 17, 1992",United States,215 lbs - 98 kg,6' 6 - 198 cm,"C, RW",Right,19 - Round 1 - 2010 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Dec 31, 2014",22,✔,,,6,RFA,UFA,2021,"$4,100,000",5.9%,"$4,100,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
250. Brian Dumoulin,PIT,27,"Sep 6, 1991",United States,207 lbs - 94 kg,6' 4 - 193 cm,D,Left,51 - Round 2 - 2009 (CAR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 24, 2017",25,✔,✔,,6,RFA,UFA,2023,"$4,100,000",5.5%,"$4,100,000","$4,100,000","$4,100,000","$4,100,000",$0,$0
251. Josh Manson,ANA,27,"Oct 7, 1991",Canada,216 lbs - 98 kg,6' 3 - 191 cm,D,Right,160 - Round 6 - 2011 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 4, 2017",26,✔,,M-NTC,4,RFA,UFA,2022,"$4,100,000",5.5%,"$4,100,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
252. Olli Määttä,CHI,24,"Aug 22, 1994",Finland,206 lbs - 93 kg,6' 2 - 188 cm,D,Left,22 - Round 1 - 2012 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Feb 26, 2016",21,,,,6,RFA,UFA,2022,"$4,083,333",5.7%,"$4,083,333","$4,083,300","$4,083,300","$4,083,300",$0,$0
253. Brett Pesce,CAR,24,"Nov 15, 1994",United States,206 lbs - 93 kg,6' 3 - 191 cm,D,Right,66 - Round 3 - 2013 (CAR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Aug 1, 2017",22,,,,6,RFA,UFA,2024,"$4,025,000",5.4%,"$4,025,000","$4,025,000","$4,025,000","$4,025,000",$0,$0
254. David Perron,STL,31,"May 28, 1988",Canada,200 lbs - 91 kg,6' 0 - 183 cm,"RW, LW",Right,26 - Round 1 - 2007 (STL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",30,,,M-NTC,4,UFA,UFA,2022,"$4,000,000",5.0%,"$4,000,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
255. Mikkel Boedker,OTT,29,"Dec 16, 1989",Denmark,210 lbs - 95 kg,6' 0 - 183 cm,"LW, RW",Left,8 - Round 1 - 2008 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2016",26,,,,4,UFA,UFA,2020,"$4,000,000",5.5%,"$4,000,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
256. Erik Gudbranson,PIT,27,"Jan 7, 1992",Canada,217 lbs - 98 kg,6' 5 - 196 cm,D,Right,3 - Round 1 - 2010 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Feb 20, 2018",26,,,,3,UFA,UFA,2021,"$4,000,000",5.3%,"$4,000,000","$4,500,000","$4,500,000","$4,500,000",$0,$0
257. Jimmy Howard,DET,35,"Mar 26, 1984",United States,218 lbs - 99 kg,6' 1 - 185 cm,G,Left,64 - Round 2 - 2003 (DET),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,35+ (1-way),"Mar 20, 2019",35,,,,1,UFA,UFA,2020,"$4,000,000",5.0%,"$5,100,000","$4,000,000","$4,000,000","$4,000,000",$0,"$1,100,000"
258. Kris Russell,EDM,32,"May 2, 1987",Canada,170 lbs - 77 kg,5' 10 - 178 cm,D,Left,67 - Round 3 - 2005 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 23, 2017",30,,,"M-NTC, NMC",4,UFA,UFA,2021,"$4,000,000",5.3%,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
259. Victor Rask,MIN,26,"Mar 1, 1993",Sweden,200 lbs - 91 kg,6' 2 - 188 cm,C,Left,42 - Round 2 - 2011 (CAR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 12, 2016",23,,,,6,RFA,UFA,2022,"$4,000,000",5.5%,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
260. Vladislav Namestnikov,NYR,26,"Nov 22, 1992",Russia,184 lbs - 83 kg,6' 0 - 183 cm,"RW, LW, C",Left,27 - Round 1 - 2011 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",25,✔,,,2,RFA,UFA,2020,"$4,000,000",5.0%,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
261. Jake Muzzin,TOR,30,"Feb 21, 1989",Canada,213 lbs - 97 kg,6' 3 - 191 cm,D,Left,141 - Round 5 - 2007 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 16, 2014",25,✔,,,5,RFA,UFA,2020,"$4,000,000",5.8%,"$4,000,000","$4,450,000","$4,450,000","$4,450,000",$0,$0
262. Alec Martinez,LAK,31,"Jul 26, 1987",United States,209 lbs - 95 kg,6' 1 - 185 cm,D,Left,95 - Round 4 - 2007 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Dec 4, 2014",27,,,,6,UFA,UFA,2021,"$4,000,000",5.8%,"$4,000,000","$4,150,000","$4,150,000","$4,150,000",$0,$0
263. Marco Scandella,BUF,29,"Feb 23, 1990",Canada,210 lbs - 95 kg,6' 3 - 191 cm,D,Left,55 - Round 2 - 2008 (MIN),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Nov 29, 2014",24,✔,,,5,RFA,UFA,2020,"$4,000,000",5.8%,"$4,000,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
264. Evgeni Dadonov,FLA,30,"Mar 12, 1989",Russia,185 lbs - 84 kg,5' 11 - 180 cm,"RW, LW",Left,71 - Round 3 - 2007 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2017",28,,,"M-NTC, NMC",3,UFA,UFA,2020,"$4,000,000",5.3%,"$4,000,000","$3,600,000","$2,600,000","$3,600,000","$1,000,000",$0
265. Roman Josi,NSH,29,"Jun 1, 1990",Switzerland,201 lbs - 91 kg,6' 1 - 185 cm,D,Left,38 - Round 2 - 2008 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 10, 2013",23,,,,7,RFA,UFA,2020,"$4,000,000",6.2%,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
266. Johan Franzen,DET,39,"Dec 23, 1979",Sweden,232 lbs - 105 kg,6' 4 - 193 cm,"RW, LW",Left,97 - Round 3 - 2004 (DET),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Apr 11, 2009",29,,,,11,UFA,UFA,2020,"$3,954,545",7.0%,"$3,954,545","$1,000,000","$1,000,000","$1,000,000",$0,$0
267. Joonas Donskoi,COL,27,"Apr 13, 1992",Finland,190 lbs - 86 kg,6' 0 - 183 cm,RW,Right,99 - Round 4 - 2010 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",27,,,,4,UFA,UFA,2023,"$3,900,000",4.8%,"$3,900,000","$4,900,000","$4,900,000","$4,900,000",$0,$0
268. Andrew Shaw,CHI,27,"Jul 20, 1991",Canada,182 lbs - 83 kg,5' 11 - 180 cm,"C, RW",Right,139 - Round 5 - 2011 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 27, 2016",24,✔,,,6,RFA,UFA,2022,"$3,900,000",5.3%,"$3,900,000","$3,250,000","$2,250,000","$3,250,000","$1,000,000",$0
269. Colin Miller,BUF,26,"Oct 29, 1992",Canada,196 lbs - 89 kg,6' 1 - 185 cm,D,Right,151 - Round 5 - 2012 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 7, 2018",25,✔,✔,,4,RFA,UFA,2022,"$3,875,000",4.9%,"$3,875,000","$3,875,000","$3,875,000","$3,875,000",$0,$0
270. Travis Hamonic,CGY,28,"Aug 16, 1990",Canada,205 lbs - 93 kg,6' 2 - 188 cm,D,Right,53 - Round 2 - 2008 (NYI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 5, 2013",22,,,,7,RFA,UFA,2020,"$3,857,143",6.0%,"$3,857,143","$4,875,000","$4,875,000","$4,875,000",$0,$0
271. Connor Murphy,CHI,26,"Mar 26, 1993",United States,212 lbs - 96 kg,6' 4 - 193 cm,D,Right,20 - Round 1 - 2011 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 28, 2016",23,,,,6,RFA,UFA,2022,"$3,850,000",5.3%,"$3,850,000","$4,400,000","$4,400,000","$4,400,000",$0,$0
272. Darren Helm,DET,32,"Jan 21, 1987",Canada,196 lbs - 89 kg,6' 0 - 183 cm,"C, LW, RW",Left,132 - Round 5 - 2005 (DET),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2016",29,,,NTC,5,UFA,UFA,2021,"$3,850,000",5.3%,"$3,850,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
273. Cody Eakin,VGK,28,"May 24, 1991",Canada,190 lbs - 86 kg,6' 0 - 183 cm,C,Left,85 - Round 3 - 2009 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Aug 28, 2015",24,✔,,,4,RFA,UFA,2020,"$3,850,000",5.4%,"$3,850,000","$3,850,000","$3,850,000","$3,850,000",$0,$0
274. Matt Beleskey,NYR,31,"Jun 7, 1988",Canada,207 lbs - 94 kg,6' 0 - 183 cm,LW,Left,112 - Round 4 - 2006 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2015",27,,,,5,UFA,UFA,2020,"$3,800,000",5.2%,"$3,800,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
275. Justin Braun,PHI,32,"Feb 10, 1987",United States,205 lbs - 93 kg,6' 2 - 188 cm,D,Right,201 - Round 7 - 2007 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 20, 2014",27,,,,5,UFA,UFA,2020,"$3,800,000",5.5%,"$3,800,000","$3,800,000","$3,800,000","$3,800,000",$0,$0
276. Rickard Rakell,ANA,26,"May 5, 1993",Sweden,202 lbs - 92 kg,6' 1 - 185 cm,"C, RW, LW",Right,30 - Round 1 - 2011 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 14, 2016",23,,,,6,RFA,UFA,2022,"$3,789,444",5.2%,"$3,789,444","$3,800,000","$3,800,000","$3,800,000",$0,$0
277. Brendan Gallagher,MTL,27,"May 6, 1992",Canada,184 lbs - 83 kg,5' 9 - 175 cm,RW,Right,147 - Round 5 - 2010 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Nov 29, 2014",23,,,,6,RFA,UFA,2021,"$3,750,000",5.4%,"$3,750,000","$4,000,000","$2,500,000","$4,000,000","$1,500,000",$0
278. Mattias Ekholm,NSH,29,"May 24, 1990",Sweden,215 lbs - 98 kg,6' 4 - 193 cm,D,Left,102 - Round 4 - 2009 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 26, 2015",25,✔,,,6,RFA,UFA,2022,"$3,750,000",5.3%,"$3,750,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
279. Matt Murray,PIT,25,"May 25, 1994",Canada,178 lbs - 81 kg,6' 4 - 193 cm,G,Left,83 - Round 3 - 2012 (PIT),,,✔,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Oct 20, 2016",22,,,,3,RFA,RFA,2020,"$3,750,000",5.1%,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",$0,$0
280. Tanner Pearson,VAN,26,"Aug 10, 1992",Canada,201 lbs - 91 kg,6' 1 - 185 cm,LW,Left,30 - Round 1 - 2012 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"May 9, 2017",24,✔,,,4,RFA,UFA,2021,"$3,750,000",5.1%,"$3,750,000","$3,850,000","$3,850,000","$3,850,000",$0,$0
281. Boone Jenner,CBJ,26,"Jun 15, 1993",Canada,206 lbs - 93 kg,6' 2 - 188 cm,"C, LW",Left,37 - Round 2 - 2011 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 5, 2018",25,✔,,,4,RFA,UFA,2022,"$3,750,000",4.7%,"$3,750,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
282. Jacob Markström,VAN,29,"Jan 31, 1990",Sweden,206 lbs - 93 kg,6' 6 - 198 cm,G,Left,31 - Round 2 - 2008 (FLA),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 7, 2016",26,✔,,,3,RFA,UFA,2020,"$3,666,667",5.0%,"$3,666,667","$4,000,000","$2,000,000","$4,000,000","$2,000,000",$0
283. Sam Reinhart,BUF,23,"Nov 6, 1995",Canada,192 lbs - 87 kg,6' 1 - 185 cm,"RW, C",Right,2 - Round 1 - 2014 (BUF),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 19, 2018",22,,,,2,RFA,RFA,2020,"$3,650,000",4.6%,"$3,650,000","$3,750,000","$3,750,000","$3,750,000",$0,$0
284. Alexander Kerfoot,TOR,24,"Aug 11, 1994",Canada,175 lbs - 79 kg,5' 10 - 178 cm,"C, LW",Left,150 - Round 5 - 2012 (NJD),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 4, 2019",24,✔,,,4,RFA,UFA,2023,"$3,500,000",4.3%,"$3,500,000","$5,000,000","$700,000","$5,000,000","$4,300,000",$0
285. Brett Connolly,FLA,27,"May 2, 1992",Canada,195 lbs - 88 kg,6' 3 - 191 cm,"RW, LW",Right,6 - Round 1 - 2010 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",27,,,,4,UFA,UFA,2023,"$3,500,000",4.3%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
286. Cal Clutterbuck,NYI,31,"Nov 18, 1987",Canada,216 lbs - 98 kg,5' 11 - 180 cm,RW,Right,72 - Round 3 - 2006 (MIN),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Dec 9, 2016",29,,,,5,UFA,UFA,2022,"$3,500,000",4.8%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
287. Brandon Tanev,PIT,27,"Dec 31, 1991",Canada,180 lbs - 82 kg,6' 0 - 183 cm,"RW, LW",Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",27,,,M-NTC,6,UFA,UFA,2025,"$3,500,000",4.3%,"$3,500,000","$3,500,000","$2,500,000","$3,500,000","$1,000,000",$0
288. Vladimír Sobotka,BUF,31,"Jul 2, 1987",Czech Republic,189 lbs - 86 kg,5' 11 - 180 cm,"LW, C",Left,106 - Round 4 - 2005 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Apr 6, 2017",29,,,,3,UFA,UFA,2020,"$3,500,000",4.8%,"$3,500,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
289. J.T. Compher,COL,24,"Apr 8, 1995",United States,193 lbs - 88 kg,6' 0 - 183 cm,"RW, C",Right,35 - Round 2 - 2013 (BUF),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 17, 2019",24,✔,✔,,4,RFA,UFA,2023,"$3,500,000",4.3%,"$3,500,000","$3,400,000","$3,400,000","$3,400,000",$0,$0
290. Michael Stone,CGY,29,"Jun 7, 1990",Canada,210 lbs - 95 kg,6' 3 - 191 cm,D,Right,69 - Round 3 - 2008 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 30, 2017",27,,,M-NTC,3,UFA,UFA,2020,"$3,500,000",4.7%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
291. Andrei Vasilevskiy,TBL,24,"Jul 25, 1994",Russia,215 lbs - 98 kg,6' 4 - 193 cm,G,Left,19 - Round 1 - 2012 (TBL),,,✔,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 1, 2016",21,,,,3,RFA,RFA,2020,"$3,500,000",4.8%,"$3,500,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
292. Micheal Ferland,VAN,27,"Apr 20, 1992",Canada,217 lbs - 98 kg,6' 1 - 185 cm,"LW, RW",Left,133 - Round 5 - 2010 (CGY),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 10, 2019",27,,,NMC,4,UFA,UFA,2023,"$3,500,000",4.3%,"$3,500,000","$4,500,000","$2,500,000","$4,500,000","$2,000,000",$0
293. Ben Chiarot,MTL,28,"May 9, 1991",Canada,219 lbs - 99 kg,6' 3 - 191 cm,D,Left,120 - Round 4 - 2009 (ATL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 4, 2019",28,,,M-NTC,3,UFA,UFA,2022,"$3,500,000",4.3%,"$3,500,000","$3,500,000","$1,500,000","$3,500,000","$2,000,000",$0
294. Bryan Rust,PIT,27,"May 11, 1992",United States,192 lbs - 87 kg,5' 11 - 180 cm,"RW, LW",Right,80 - Round 3 - 2010 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 26, 2018",26,✔,,,4,RFA,UFA,2022,"$3,500,000",4.4%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
295. Lars Eller,WSH,30,"May 8, 1989",Denmark,207 lbs - 94 kg,6' 2 - 188 cm,C,Left,13 - Round 1 - 2007 (STL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Feb 10, 2018",29,,,,5,UFA,UFA,2023,"$3,500,000",4.7%,"$3,500,000","$4,000,000","$3,000,000","$4,000,000","$1,000,000",$0
296. Ron Hainsey,OTT,38,"Mar 24, 1981",United States,205 lbs - 93 kg,6' 3 - 191 cm,D,Left,13 - Round 1 - 2000 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,35+ (1-way),"Jul 1, 2019",38,,,M-NTC,1,UFA,UFA,2020,"$3,500,000",4.3%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
297. James Reimer,CAR,31,"Mar 15, 1988",Canada,220 lbs - 100 kg,6' 2 - 188 cm,G,Left,99 - Round 4 - 2006 (TOR),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 1, 2016",28,,,,5,UFA,UFA,2021,"$3,400,000",4.7%,"$3,400,000","$3,100,000","$3,100,000","$3,100,000",$0,$0
298. Andreas Johnsson,TOR,24,"Nov 21, 1994",Sweden,181 lbs - 82 kg,5' 10 - 178 cm,LW,Left,202 - Round 7 - 2013 (TOR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 28, 2019",24,✔,,,4,RFA,UFA,2023,"$3,400,000",4.2%,"$3,400,000","$5,000,000","$700,000","$5,000,000","$4,300,000",$0
